system   D            wsystem.c:583  maybe_parent_dir                 [   0.00148] Also searching C:\Users\user\Source\Repos\My-Projects\Forgotten Dungeon (C++)\
dtor     D               dtor.c:184  _al_register_destructor          [   0.40075] added dtor for object 0494D950, func 0F6E25BD
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.46036] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.46046] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.49852] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.49864] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.49871] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.49876] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.49880] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.49885] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.49890] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.49894] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.49899] Fake format
d3d      D         d3d_disp.cpp:1174 real_choose_bitmap_format        [   0.49904] Alpha doesn't match
d3d      D         d3d_disp.cpp:1181 real_choose_bitmap_format        [   0.49909] Adapter format is 23
d3d      D         d3d_disp.cpp:1184 real_choose_bitmap_format        [   0.49915] Found a format
d3d      I         d3d_disp.cpp:2283 _al_d3d_create_bitmap            [   0.49920] Chose bitmap format 9
dtor     D               dtor.c:184  _al_register_destructor          [   0.50059] added dtor for object 0494DAA0, func 0F6E25BD
d3d      D          d3d_bmp.cpp:467  _al_d3d_sync_bitmap              [   0.50600] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:473  _al_d3d_sync_bitmap              [   0.50612] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.51364] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.51373] Fake format
d3d      D         d3d_disp.cpp:1166 real_choose_bitmap_format        [   0.51378] Fake format
